Time [s],Channel,Value
0.005157580,2,4289
0.005168920,1,5750
0.005180265,2,5750
0.005191605,1,7515
0.005202945,2,7515
0.005214290,1,8636
0.005225630,2,8636
0.005236970,1,9814
0.005248310,2,9814
0.005259655,1,10942
0.005270995,2,10942
0.005282335,1,11977
0.005293675,2,11977
0.005305020,1,12912
0.005316360,2,12912
0.005327700,1,13647
0.005339040,2,13647
0.005350385,1,14874
0.005361725,2,14874
0.005373065,1,15765
0.005384410,2,15765
0.005395750,1,16447
0.005407090,2,16447
0.005418430,1,17289
0.005429775,2,17289
0.005441115,1,17875
0.005452455,2,17875
0.005463795,1,18317
0.005475140,2,18317
0.005486480,1,18819
0.005497820,2,18819
0.005509165,1,19705
0.005520505,2,19705
0.005531845,1,19732
0.005543185,2,19732
0.005554530,1,20242
0.005565870,2,20242
0.005577210,1,20263
0.005588555,2,20263
0.005599895,1,20479
0.005611235,2,20479
0.005622575,1,20318
0.005633920,2,20318
0.005645260,1,20729
0.005656600,2,20729
0.005667940,1,20248
0.005679285,2,20248
0.005690625,1,20343
0.005701965,2,20343
0.005713310,1,19647
0.005724650,2,19647
0.005735990,1,19620
0.005747330,2,19620
0.005758675,1,19063
0.005770015,2,19063
0.005781355,1,18625
0.005792700,2,18625
0.005804040,1,18361
0.005815380,2,18361
0.005826720,1,17549
0.005838065,2,17549
0.005849405,1,17183
0.005860745,2,17183
0.005872085,1,16057
0.005883430,2,16057
0.005894770,1,15228
0.005906110,2,15228
0.005917450,1,14693
0.005928795,2,14693
0.005940135,1,13290
0.005951475,2,13290
0.005962820,1,12312
0.005974160,2,12312
0.005985500,1,11176
0.005996845,2,11176
0.006008185,1,10165
0.006019525,2,10165
0.006030865,1,8779
0.006042205,2,8779
0.006053550,1,7553
0.006064890,2,7553
0.006076230,1,6256
0.006087575,2,6256
0.006098915,1,5367
0.006110255,2,5367
0.006121600,1,3677
0.006132940,2,3677
0.006144280,1,2401
0.006155620,2,2401
0.006166965,1,1043
0.006178305,2,1043
0.006189645,1,65261
0.006200985,2,65261
0.006212330,1,64033
0.006223670,2,64033
0.006235010,1,62740
0.006246355,2,62740
0.006257695,1,61287
0.006269035,2,61287
0.006280375,1,59603
0.006291720,2,59603
0.006303060,1,58298
0.006314400,2,58298
0.006325740,1,57016
0.006337085,2,57016
0.006348425,1,55883
0.006359765,2,55883
0.006371110,1,54873
0.006382450,2,54873
0.006393790,1,53850
0.006405130,2,53850
0.006416475,1,52718
0.006427815,2,52718
0.006439155,1,51410
0.006450495,2,51410
0.006461840,1,50496
0.006473180,2,50496
0.006484520,1,49637
0.006495865,2,49637
0.006507205,1,48637
0.006518545,2,48637
0.006529885,1,47699
0.006541230,2,47699
0.006552570,1,47041
0.006563910,2,47041
0.006575255,1,46459
0.006586595,2,46459
0.006597935,1,46393
0.006609275,2,46393
0.006620620,1,45408
0.006631960,2,45408
0.006643300,1,44988
0.006654645,2,44988
0.006665985,1,44727
0.006677325,2,44727
0.006688665,1,44331
0.006700010,2,44331
0.006711350,1,43940
0.006722690,2,43940
0.006734030,1,44139
0.006745375,2,44139
0.006756715,1,43637
0.006768055,2,43637
0.006779400,1,43664
0.006790740,2,43664
0.006802080,1,44080
0.006813420,2,44080
0.006824760,1,43941
0.006836105,2,43941
0.006847445,1,44324
0.006858785,2,44324
0.006870130,1,44899
0.006881470,2,44899
0.006892810,1,45110
0.006904155,2,45110
0.006915495,1,45777
0.006926835,2,45777
0.006938175,1,46421
0.006949520,2,46421
0.006960860,1,47009
0.006972200,2,47009
0.006983540,1,47779
0.006994885,2,47779
0.007006225,1,48526
0.007017565,2,48526
0.007028910,1,49559
0.007040250,2,49559
0.007051590,1,50616
0.007062930,2,50616
0.007074275,1,51154
0.007085615,2,51154
0.007096955,1,52423
0.007108295,2,52423
0.007119640,1,53650
0.007130980,2,53650
0.007142320,1,54496
0.007153665,2,54496
0.007165005,1,56131
0.007176345,2,56131
0.007187685,1,57437
0.007199030,2,57437
0.007210370,1,58565
0.007221710,2,58565
0.007233050,1,59906
0.007244395,2,59906
0.007255735,1,61067
0.007267075,2,61067
0.007278420,1,62179
0.007289760,2,62179
0.007301100,1,63552
0.007312440,2,63552
0.007323785,1,64844
0.007335125,2,64844
0.007346465,1,854
0.007357810,2,854
0.007369150,1,2188
0.007380490,2,2188
0.007391830,1,3487
0.007403175,2,3487
0.007414515,1,5734
0.007425855,2,5734
0.007437195,1,7198
0.007448540,2,7198
0.007459880,1,8664
0.007471220,2,8664
0.007482565,1,9611
0.007493905,2,9611
0.007505245,1,10623
0.007516590,2,10623
0.007527930,1,12316
0.007539270,2,12316
0.007550610,1,12923
0.007561950,2,12923
0.007573295,1,14042
0.007584635,2,14042
0.007595975,1,15100
0.007607320,2,15100
0.007618660,1,16738
0.007630000,2,16738
0.007641340,1,17683
0.007652685,2,17683
0.007664025,1,18362
0.007675365,2,18362
0.007686705,1,19237
0.007698050,2,19237
0.007709390,1,19980
0.007720730,2,19980
0.007732070,1,20687
0.007743415,2,20687
0.007754755,1,21091
0.007766095,2,21091
0.007777440,1,21445
0.007788780,2,21445
0.007800120,1,22061
0.007811460,2,22061
0.007822805,1,22599
0.007834145,2,22599
0.007845485,1,32767
0.007856830,2,32767
0.007868170,1,32767
0.007879510,2,32767
0.007890850,1,32767
0.007902195,2,32767
0.007913535,1,32767
0.007924875,2,32767
0.007936220,1,32767
0.007947560,2,32767
